cartodb_id,the_geom,id,id_1,highway,height,lamp_count,lamp_height,lamp_light,lamp_lit,lamp_shape,lamp_tilt,lit,light_colour,light_count,light_lit,light_method,light_shape,light_tilt,support,_natural,amenity
119,0101000020E61000003373DC84D6DE0DC046CEC29E76394440,node/3456452103,node/3456452103,street_lamp,,,,,,,,,,,,,,,,,
120,0101000020E61000004BD6F21483E10DC0997E2EBF78394440,node/3456452104,node/3456452104,street_lamp,,,,,,,,,,,,,,,,,
121,0101000020E61000000B337E2B23DF0DC01B8B5C2679394440,node/3456452105,node/3456452105,street_lamp,,,,,,,,,,,,,,,,,
123,0101000020E61000000639398DFEE10DC0BD2F78E283394440,node/3456452107,node/3456452107,street_lamp,,,,,,,,,,,,,,,,,
124,0101000020E61000004B32BCA310E20DC08A749A6093394440,node/3456452108,node/3456452108,street_lamp,,,,,,,,,,,,,,,,,
125,0101000020E6100000688F17D2E1E10DC02F7315E698394440,node/3456452109,node/3456452109,street_lamp,,,,,,,,,,,,,,,,,
126,0101000020E6100000FDD71423A6DF0DC06F8A7DB89A394440,node/3456452110,node/3456452110,street_lamp,,,,,,,,,,,,,,,,,
127,0101000020E610000033886AA56BE10DC07BF07FEC9A394440,node/3456452111,node/3456452111,street_lamp,,,,,,,,,,,,,,,,,
128,0101000020E61000001438D906EEE00DC0575C1C959B394440,node/3456452112,node/3456452112,street_lamp,,,,,,,,,,,,,,,,,
129,0101000020E6100000451E77007AE00DC0F1344F649C394440,node/3456452113,node/3456452113,street_lamp,,,,,,,,,,,,,,,,,
130,0101000020E6100000EBC8EC8733DA0DC0268458479F394440,node/3456452114,node/3456452114,street_lamp,,,,,,,,,,,,,,,,,
131,0101000020E6100000C0FEEBDCB4D90DC0CCC28D4AA0394440,node/3456452115,node/3456452115,street_lamp,,,,,,,,,,,,,,,,,
132,0101000020E61000005FF29AB22ED90DC01FD55526A1394440,node/3456452116,node/3456452116,street_lamp,,,,,,,,,,,,,,,,,
133,0101000020E6100000E86A86AF0ADF0DC006A7F402A2394440,node/3456452117,node/3456452117,street_lamp,,,,,,,,,,,,,,,,,
134,0101000020E61000004028EFE368DE0DC0F3AB94F9A2394440,node/3456452118,node/3456452118,street_lamp,,,,,,,,,,,,,,,,,
135,0101000020E6100000C4CDA96400D80DC077B8C260A3394440,node/3456452119,node/3456452119,street_lamp,,,,,,,,,,,,,,,,,
136,0101000020E6100000787874C872D70DC01191F52FA4394440,node/3456452120,node/3456452120,street_lamp,,,,,,,,,,,,,,,,,
137,0101000020E61000009A4D36D4DED60DC0F32F93F2A4394440,node/3456452121,node/3456452121,street_lamp,,,,,,,,,,,,,,,,,
138,0101000020E6100000A4B61ECF78DC0DC015E69887A7394440,node/3456452122,node/3456452122,street_lamp,,,,,,,,,,,,,,,,,
139,0101000020E61000002506819543CB0DC067518EB8B6394440,node/3456452123,node/3456452123,street_lamp,,,,,,,,,,,,,,,,,
140,0101000020E610000067C7B20529CD0DC0AEFD5360B7394440,node/3456452124,node/3456452124,street_lamp,,,,,,,,,,,,,,,,,
141,0101000020E61000004972AF82CECA0DC0FFCF61BEBC394440,node/3456452125,node/3456452125,street_lamp,,,,,,,,,,,,,,,,,
142,0101000020E6100000EE7CF5A743CD0DC044B86EEFBF394440,node/3456452126,node/3456452126,street_lamp,,,,,,,,,,,,,,,,,
143,0101000020E610000017026F3777CA0DC0BA803C60C3394440,node/3456452127,node/3456452127,street_lamp,,,,,,,,,,,,,,,,,
144,0101000020E61000003FF0E7CA56CD0DC0641415BBC7394440,node/3456452128,node/3456452128,street_lamp,,,,,,,,,,,,,,,,,
145,0101000020E6100000103D29931ACA0DC0C75D8429CA394440,node/3456452129,node/3456452129,street_lamp,,,,,,,,,,,,,,,,,
146,0101000020E61000001E30B4DF7FD00DC02674F27DCC394440,node/3456452130,node/3456452130,street_lamp,,,,,,,,,,,,,,,,,
147,0101000020E610000084A22F7370CF0DC073F15C84CE394440,node/3456452131,node/3456452131,street_lamp,,,,,,,,,,,,,,,,,
148,0101000020E61000005132EF2719CF0DC0F5FD8AEBCE394440,node/3456452132,node/3456452132,street_lamp,,,,,,,,,,,,,,,,,
149,0101000020E610000023B9574167CD0DC0D1692794CF394440,node/3456452133,node/3456452133,street_lamp,,,,,,,,,,,,,,,,,
150,0101000020E610000057714FFCBDC90DC0D107CBD8D0394440,node/3456452134,node/3456452134,street_lamp,,,,,,,,,,,,,,,,,
151,0101000020E6100000C0513C7837D00DC02343D83A82384440,node/3594825824,node/3594825824,street_lamp,13,1,12,high_pressure_sodium,sunset-sunrise,directed,-90,yes,,,,,,,,,
152,0101000020E6100000EEAB72A1F2CF0DC0222933EF82384440,node/3594825825,node/3594825825,street_lamp,4,1,4,high_pressure_sodium,sunset-sunrise,directed,-90,yes,,,,,,,,,
153,0101000020E610000061E75C401ED00DC09775FF5888384440,node/3594825826,node/3594825826,street_lamp,4,1,4,high_pressure_sodium,sunset-sunrise,directed,-90,yes,,,,,,,,,
154,0101000020E6100000ECA584BB0ED00DC03A1E8E098C384440,node/3594825827,node/3594825827,street_lamp,13,1,12,high_pressure_sodium,sunset-sunrise,directed,-90,yes,,,,,,,,,
155,0101000020E6100000F81ADD9CA5CF0DC0B2F2CB608C384440,node/3594825828,node/3594825828,street_lamp,13,1,12,high_pressure_sodium,sunset-sunrise,directed,-90,yes,,,,,,,,,
156,0101000020E610000090A8065042CF0DC03B32FBE18C384440,node/3594825829,node/3594825829,street_lamp,13,1,12,high_pressure_sodium,sunset-sunrise,directed,-90,yes,,,,,,,,,
157,0101000020E61000001C7FFD6BD4CE0DC0BE9A4D918D384440,node/3594825830,node/3594825830,street_lamp,,,,,,,,yes,,,,,,,,,
158,0101000020E6100000AED007CBD8D00DC0F37FFDC68D384440,node/3594825831,node/3594825831,street_lamp,,,,,,,,yes,,,,,,,,,
159,0101000020E6100000085740A19ECE0DC0B11AA6118E384440,node/3594825832,node/3594825832,street_lamp,,,,,,,,yes,,,,,,,,,
160,0101000020E61000008DDF803BF5CD0DC0CFD1F4238F384440,node/3594825833,node/3594825833,street_lamp,,,,,,,,yes,,,,,,,,,
161,0101000020E6100000F58D9E115BD00DC0B78F26288F384440,node/3594825834,node/3594825834,street_lamp,13,1,12,high_pressure_sodium,sunset-sunrise,directed,-90,yes,,,,,,,,,
162,0101000020E6100000BFAE264F59CD0DC06E0B3B3190384440,node/3594825835,node/3594825835,street_lamp,,,,,,,,yes,,,,,,,,,
163,0101000020E610000031E47DC113CF0DC01B97169A90384440,node/3594825836,node/3594825836,street_lamp,,,,,,,,yes,,,,,,,,,
164,0101000020E610000002261532FCCC0DC0514EB4AB90384440,node/3594825837,node/3594825837,street_lamp,,,,,,,,yes,,,,,,,,,
165,0101000020E61000006765FB90B7CC0DC09EFF684991384440,node/3594825838,node/3594825838,street_lamp,,,,,,,,yes,,,,,,,,,
166,0101000020E6100000509374289ECE0DC0B03C484F91384440,node/3594825839,node/3594825839,street_lamp,,,,,,,,yes,,,,,,,,,
167,0101000020E6100000F9DB9E20B1CD0DC0D3DEE00B93384440,node/3594825841,node/3594825841,street_lamp,,,,,,,,yes,,,,,,,,,
